127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/appadmin/index, HTTP/1.1, 200, 0.152648
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000418
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000345
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000380
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000327
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/js/jquery.js, HTTP/1.1, 304, 0.000332
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/css/calendar.css, HTTP/1.1, 304, 0.000336
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000858
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.001099
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000378
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/js/web2py.js, HTTP/1.1, 304, 0.001855
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/js/calendar.js, HTTP/1.1, 304, 0.003340
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/images/facebook.png, HTTP/1.1, 304, 0.000361
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/images/twitter.png, HTTP/1.1, 304, 0.002544
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/static/images/gplus-32.png, HTTP/1.1, 304, 0.006746
127.0.0.1, 2015-06-07 18:59:48, GET, /lpfx_tiss/appadmin/hooks, HTTP/1.1, 200, 0.044426
127.0.0.1, 2015-06-07 19:00:43, GET, /admin/default/design/lpfx_tiss, HTTP/1.1, 200, 0.105677
127.0.0.1, 2015-06-07 19:00:43, GET, /admin/default/site, HTTP/1.1, 200, 0.041555
127.0.0.1, 2015-06-07 19:00:44, GET, /admin/default/site, HTTP/1.1, 200, 0.039929
127.0.0.1, 2015-06-07 19:00:46, GET, /admin/, HTTP/1.1, 303, 0.003745
127.0.0.1, 2015-06-07 19:00:46, GET, /admin/default/site, HTTP/1.1, 200, 0.055337
127.0.0.1, 2015-06-07 19:00:46, GET, /admin/default/site, HTTP/1.1, 200, 0.037495
127.0.0.1, 2015-06-07 19:00:48, GET, /admin/default/site, HTTP/1.1, 200, 0.051724
127.0.0.1, 2015-06-07 19:00:49, GET, /admin/default/site, HTTP/1.1, 200, 0.058555
127.0.0.1, 2015-06-07 19:00:53, GET, /lpfx_gie, HTTP/1.1, 404, 0.000332
127.0.0.1, 2015-06-07 19:00:57, GET, /lpfx_tiss, HTTP/1.1, 200, 0.032075
127.0.0.1, 2015-06-07 19:00:57, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000469
127.0.0.1, 2015-06-07 19:01:49, GET, /lpfx_tiss, HTTP/1.1, 200, 0.033948
127.0.0.1, 2015-06-07 19:01:49, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000302
127.0.0.1, 2015-06-07 19:01:56, GET, /lpfx_tiss, HTTP/1.1, 200, 0.021871
127.0.0.1, 2015-06-07 19:01:56, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000293
127.0.0.1, 2015-06-07 19:02:31, GET, /lpfx_tiss, HTTP/1.1, 200, 0.024363
127.0.0.1, 2015-06-07 19:02:31, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000293
127.0.0.1, 2015-06-07 19:03:14, GET, /lpfx_tiss, HTTP/1.1, 200, 0.028779
127.0.0.1, 2015-06-07 19:03:14, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000368
127.0.0.1, 2015-06-07 19:05:13, GET, /lpfx_tiss, HTTP/1.1, 200, 0.021935
127.0.0.1, 2015-06-07 19:05:16, GET, /lpfx_tiss, HTTP/1.1, 200, 0.016227
127.0.0.1, 2015-06-07 19:05:16, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000316
127.0.0.1, 2015-06-07 19:05:26, GET, /lpfx_tiss/default/beneficiario, HTTP/1.1, 200, 0.154474
127.0.0.1, 2015-06-07 19:05:26, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000293
127.0.0.1, 2015-06-07 19:05:48, GET, /lpfx_tiss/default/beneficiario, HTTP/1.1, 200, 0.052439
127.0.0.1, 2015-06-07 19:05:48, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000345
127.0.0.1, 2015-06-07 19:05:53, GET, /lpfx_tiss/default/beneficiario, HTTP/1.1, 200, 0.020148
127.0.0.1, 2015-06-07 19:05:53, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000267
127.0.0.1, 2015-06-07 19:08:23, GET, /lpfx_tiss/default/beneficiario, HTTP/1.1, 200, 0.037203
127.0.0.1, 2015-06-07 19:08:23, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000392
127.0.0.1, 2015-06-07 19:08:25, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.030003
127.0.0.1, 2015-06-07 19:08:25, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000268
127.0.0.1, 2015-06-07 19:08:55, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.035642
127.0.0.1, 2015-06-07 19:08:55, GET, /lpfx_tiss/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000266
127.0.0.1, 2015-06-07 19:08:55, GET, /lpfx_tiss/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000270
127.0.0.1, 2015-06-07 19:08:55, GET, /lpfx_tiss/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000344
127.0.0.1, 2015-06-07 19:08:55, GET, /lpfx_tiss/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001375
127.0.0.1, 2015-06-07 19:08:55, GET, /lpfx_tiss/static/css/calendar.css, HTTP/1.1, 304, 0.000345
127.0.0.1, 2015-06-07 19:08:55, GET, /lpfx_tiss/static/js/jquery.js, HTTP/1.1, 304, 0.000557
127.0.0.1, 2015-06-07 19:08:55, GET, /lpfx_tiss/static/js/calendar.js, HTTP/1.1, 304, 0.000369
127.0.0.1, 2015-06-07 19:08:55, GET, /lpfx_tiss/static/js/web2py.js, HTTP/1.1, 304, 0.000559
127.0.0.1, 2015-06-07 19:08:55, GET, /lpfx_tiss/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000372
127.0.0.1, 2015-06-07 19:08:55, GET, /lpfx_tiss/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002198
127.0.0.1, 2015-06-07 19:08:55, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000260
127.0.0.1, 2015-06-07 19:08:56, GET, /lpfx_tiss/static/images/twitter.png, HTTP/1.1, 304, 0.000279
127.0.0.1, 2015-06-07 19:08:56, GET, /lpfx_tiss/static/images/facebook.png, HTTP/1.1, 304, 0.000256
127.0.0.1, 2015-06-07 19:08:56, GET, /lpfx_tiss/static/images/gplus-32.png, HTTP/1.1, 304, 0.000257
127.0.0.1, 2015-06-07 19:11:40, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.018570
127.0.0.1, 2015-06-07 19:11:40, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000337
127.0.0.1, 2015-06-07 19:13:30, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.019448
127.0.0.1, 2015-06-07 19:13:31, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000274
127.0.0.1, 2015-06-07 19:13:55, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.019017
127.0.0.1, 2015-06-07 19:13:55, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000296
127.0.0.1, 2015-06-07 19:14:07, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.031105
127.0.0.1, 2015-06-07 19:14:07, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000298
127.0.0.1, 2015-06-07 19:14:20, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.030567
127.0.0.1, 2015-06-07 19:14:20, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000294
127.0.0.1, 2015-06-07 19:15:22, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 500, 0.067671
127.0.0.1, 2015-06-07 19:15:26, GET, /admin/default/ticket/lpfx_tiss/127.0.0.1.2015-06-07.19-15-22.bcf34a94-e649-4ba7-8ab6-1e5fd06ce5d0, HTTP/1.1, 200, 0.059544
127.0.0.1, 2015-06-07 19:15:39, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.025428
127.0.0.1, 2015-06-07 19:15:39, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000265
127.0.0.1, 2015-06-07 19:17:12, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.041654
127.0.0.1, 2015-06-07 19:17:12, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000267
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/default/beneficiario/new/beneficiario, HTTP/1.1, 200, 0.034230
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000457
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002413
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/css/calendar.css, HTTP/1.1, 304, 0.001708
127.0.0.1, 2015-06-07 19:19:04, GET, /lpfx_tiss/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001018
